Release Height (m),Radionuclide,Distance (m),Stability Category,Dose
10,Ar-41,2000,1,1.3158857739706611e-10
10,Ar-41,2000,2,1.2007257619477481e-09
10,Ar-41,2000,3,2.495395446836097e-09
10,Ar-41,2000,4,5.129728114963016e-09
10,Ar-41,2000,5,7.812449912762983e-09
10,Ar-41,2000,6,1.1842116517950569e-08
10,Xe-135,2000,1,2.404275987800294e-11
10,Xe-135,2000,2,2.4667952289175136e-10
10,Xe-135,2000,3,5.67160106484529e-10
10,Xe-135,2000,4,1.2795421348916466e-09
10,Xe-135,2000,5,2.0135960090514033e-09
10,Xe-135,2000,6,3.099567752850065e-09
10,Co-60,2000,1,2.5763731498070145e-10
10,Co-60,2000,2,2.358856903894949e-09
10,Co-60,2000,3,4.913031504788725e-09
10,Co-60,2000,4,1.0116775972065646e-08
10,Co-60,2000,5,1.5416349098088052e-08
10,Co-60,2000,6,2.3374114708891943e-08
10,I-131,2000,1,3.9414236114853394e-11
10,I-131,2000,2,3.9534254187316574e-10
10,I-131,2000,3,8.867379346285052e-10
10,I-131,2000,4,1.948947901071683e-09
10,I-131,2000,5,3.0375123434320822e-09
10,I-131,2000,6,4.6530970302723966e-09
10,I-132,2000,1,2.293417895010173e-10
10,I-132,2000,2,2.192403074109708e-09
10,I-132,2000,3,4.7132037446579114e-09
10,I-132,2000,4,9.962156835543409e-09
10,I-132,2000,5,1.5316233642221245e-08
10,I-132,2000,6,2.331683009165832e-08
10,Kr-87,2000,1,7.933443693415483e-11
10,Kr-87,2000,2,7.15589718427687e-10
10,Kr-87,2000,3,1.4939503710373372e-09
10,Kr-87,2000,4,3.096754210355006e-09
10,Kr-87,2000,5,4.730526343694636e-09
10,Kr-87,2000,6,7.17661189244723e-09
10,Kr-88,2000,1,1.8954263886399468e-10
10,Kr-88,2000,2,1.655455363028492e-09
10,Kr-88,2000,3,3.370066130729603e-09
10,Kr-88,2000,4,6.836527972391088e-09
10,Kr-88,2000,5,1.0364743031421152e-08
10,Kr-88,2000,6,1.5668584320436487e-08
10,Kr-85,2000,1,2.346212366490621e-13
10,Kr-85,2000,2,2.3171361781417897e-12
10,Kr-85,2000,3,5.113527957983708e-12
10,Kr-85,2000,4,1.1054977439759544e-11
10,Kr-85,2000,5,1.7126922857320386e-11
10,Kr-85,2000,6,2.6162291628152447e-11
10,Sr-85,2000,1,5.3127673889690266e-11
10,Sr-85,2000,2,5.24692242110075e-10
10,Sr-85,2000,3,1.157906111850994e-09
10,Sr-85,2000,4,2.5032845522124144e-09
10,Sr-85,2000,5,3.8782122652028715e-09
10,Sr-85,2000,6,5.9241760650689276e-09
10,Ru-103,2000,1,5.2111765313566805e-11
10,Ru-103,2000,2,5.152352146666652e-10
10,Ru-103,2000,3,1.1383233973747764e-09
10,Ru-103,2000,4,2.4637796690912233e-09
10,Ru-103,2000,5,3.818665573258914e-09
10,Ru-103,2000,6,5.8345756519398305e-09
10,Ru-106,2000,1,2.0372290559253055e-11
10,Ru-106,2000,2,1.9903266138852478e-10
10,Ru-106,2000,3,4.3535988228943645e-10
10,Ru-106,2000,4,9.340525033567739e-10
10,Ru-106,2000,5,1.4433724696352572e-09
10,Ru-106,2000,6,2.202356736731627e-09
10,Na-22,2000,1,2.274193573820604e-10
10,Na-22,2000,2,2.1496833237453033e-09
10,Na-22,2000,3,4.593044702339946e-09
10,Na-22,2000,4,9.670385809876069e-09
10,Na-22,2000,5,1.4850074666989442e-08
10,Na-22,2000,6,2.2594839101453884e-08
10,Eu-152,2000,1,1.0940651731921948e-10
10,Eu-152,2000,2,1.0296367604299402e-09
10,Eu-152,2000,3,2.195488668942653e-09
10,Eu-152,2000,4,4.62265250559714e-09
10,Eu-152,2000,5,7.102316840954689e-09
10,Eu-152,2000,6,1.081287284064065e-08
10,Eu-154,2000,1,1.2036726820211002e-10
10,Eu-154,2000,2,1.1311407612926243e-09
10,Eu-154,2000,3,2.406526079350922e-09
10,Eu-154,2000,4,5.055163449890921e-09
